,matched_numbers,matched_numbers_count
5691,"['11', '19']",2
5692,"['11', '33', '42']",3
5693,[],0
5694,[],0
5695,[],0
5696,['42'],1
5697,[],0
5698,[],0
5699,[],0
5700,['21'],1
5701,[],0
5702,['11'],1
5703,[],0
5704,[],0
5705,[],0
5706,[],0
5707,[],0
5708,[],0
5709,['21'],1
5710,['11'],1
5711,['11'],1
5712,[],0
5713,[],0
5714,"['11', '19']",2
5715,['19'],1
5716,[],0
5717,['19'],1
5718,['33'],1
5719,['21'],1
5720,['21'],1
5721,"['11', '19', '33']",3
5722,['33'],1
5723,[],0
5724,['11'],1
5725,[],0
5726,[],0
5727,['21'],1
5728,[],0
5729,[],0
5730,['33'],1
5731,['42'],1
5732,"['21', '33']",2
5733,[],0
5734,[],0
5735,[],0
5736,['21'],1
5737,[],0
5738,[],0
5739,['33'],1
5740,['19'],1
5741,['11'],1
5742,[],0
5743,"['11', '21']",2
5744,['42'],1
5745,"['19', '33']",2
5746,"['21', '42']",2
5747,"['21', '33']",2
5748,[],0
5749,['19'],1
5750,['21'],1
5751,['42'],1
5752,['42'],1
5753,['21'],1
5754,[],0
5755,['19'],1
5756,['42'],1
5757,[],0
5758,['42'],1
5759,[],0
5760,['11'],1
5761,['42'],1
5762,['11'],1
5763,[],0
5764,"['19', '33']",2
5765,[],0
5766,['33'],1
5767,[],0
5768,['33'],1
5769,['19'],1
5770,['19'],1
5771,[],0
5772,[],0
5773,[],0
5774,[],0
5775,['33'],1
5776,['19'],1
5777,['33'],1
5778,['21'],1
5779,[],0
5780,['42'],1
5781,[],0
5782,[],0
5783,['11'],1
5784,['19'],1
5785,[],0
5786,['19'],1
5787,['19'],1
5788,"['11', '42']",2
5789,[],0
5790,['19'],1
5791,[],0
5792,['21'],1
5793,['42'],1
5794,['11'],1
5795,[],0
5796,[],0
5797,['33'],1
5798,[],0
5799,[],0
5800,[],0
5801,['19'],1
5802,['21'],1
5803,[],0
5804,[],0
5805,[],0
5806,"['19', '42']",2
5807,[],0
5808,"['21', '33']",2
5809,['11'],1
5810,['42'],1
5811,[],0
5812,[],0
5813,['42'],1
5814,[],0
5815,[],0
5816,[],0
5817,[],0
5818,[],0
5819,[],0
5820,['19'],1
5821,[],0
5822,[],0
5823,[],0
5824,[],0
5825,[],0
5826,[],0
5827,[],0
5828,"['21', '42']",2
5829,[],0
5830,['21'],1
5831,['42'],1
5832,['42'],1
5833,[],0
5834,['21'],1
5835,[],0
5836,"['11', '21']",2
5837,['33'],1
5838,[],0
5839,"['33', '42']",2
5840,[],0
5841,[],0
5842,"['19', '33']",2
5843,[],0
5844,[],0
5845,"['21', '33', '42']",3
5846,['19'],1
5847,['33'],1
5848,['11'],1
5849,[],0
5850,[],0
5851,[],0
5852,[],0
5853,[],0
5854,['42'],1
5855,['42'],1
5856,[],0
5857,[],0
5858,[],0
5859,[],0
5860,['11'],1
5861,[],0
5862,['19'],1
5863,['21'],1
5864,['19'],1
5865,[],0
5866,[],0
5867,"['21', '33']",2
5868,['19'],1
5869,['19'],1
5870,[],0
5871,['19'],1
5872,[],0
5873,[],0
5874,[],0
5875,['19'],1
5876,[],0
5877,['19'],1
5878,[],0
5879,['19'],1
5880,['21'],1
5881,['11'],1
5882,[],0
5883,['21'],1
5884,[],0
5885,[],0
5886,"['33', '42']",2
5887,['11'],1
5888,[],0
5889,"['11', '33']",2
5890,['11'],1
5891,[],0
5892,[],0
5893,[],0
5894,[],0
5895,['11'],1
5896,[],0
5897,[],0
5898,[],0
5899,['19'],1
5900,[],0
5901,[],0
5902,[],0
5903,['19'],1
5904,['21'],1
5905,[],0
5906,['21'],1
5907,['21'],1
5908,['33'],1
5909,[],0
5910,[],0
5911,[],0
5912,['19'],1
5913,[],0
5914,['21'],1
5915,[],0
5916,[],0
5917,[],0
5918,"['11', '33']",2
5919,"['21', '33']",2
5920,['19'],1
5921,[],0
5922,[],0
5923,[],0
5924,[],0
5925,['42'],1
5926,[],0
5927,['21'],1
5928,[],0
5929,[],0
5930,['42'],1
5931,[],0
5932,[],0
5933,[],0
5934,[],0
5935,[],0
5936,"['11', '21']",2
5937,"['11', '21']",2
5938,['21'],1
5939,['21'],1
5940,['11'],1
5941,['21'],1
5942,['21'],1
5943,[],0
5944,[],0
5945,['11'],1
5946,[],0
5947,['42'],1
5948,[],0
5949,[],0
5950,"['11', '21', '42']",3
5951,[],0
5952,['42'],1
5953,[],0
5954,"['11', '21']",2
5955,['33'],1
5956,['19'],1
5957,['42'],1
5958,[],0
5959,['11'],1
5960,[],0
5961,"['11', '21']",2
5962,['11'],1
5963,"['11', '33']",2
5964,['11'],1
5965,['21'],1
5966,['11'],1
5967,['19'],1
5968,[],0
5969,['21'],1
5970,['11'],1
5971,['33'],1
5972,['11'],1
5973,"['11', '33']",2
5974,[],0
5975,"['19', '33']",2
5976,['11'],1
5977,"['11', '21']",2
5978,['19'],1
5979,['33'],1
5980,[],0
5981,[],0
5982,[],0
5983,[],0
5984,[],0
5985,[],0
5986,[],0
5987,[],0
5988,['19'],1
5989,[],0
5990,['19'],1
5991,['11'],1
5992,['21'],1
5993,[],0
5994,['19'],1
5995,[],0
5996,[],0
5997,"['11', '33', '42']",3
5998,[],0
5999,['42'],1
6000,[],0
6001,[],0
6002,['21'],1
6003,[],0
6004,"['11', '21']",2
6005,[],0
6006,['11'],1
6007,['33'],1
6008,['19'],1
6009,['42'],1
6010,[],0
6011,[],0
6012,[],0
6013,"['11', '42']",2
6014,[],0
6015,['21'],1
6016,"['19', '42']",2
6017,['42'],1
6018,[],0
6019,['21'],1
6020,[],0
6021,[],0
6022,[],0
6023,['33'],1
6024,[],0
6025,[],0
6026,[],0
6027,[],0
6028,[],0
6029,['11'],1
6030,[],0
6031,['11'],1
6032,[],0
6033,['11'],1
6034,[],0
6035,[],0
6036,[],0
6037,[],0
6038,[],0
6039,['33'],1
6040,['21'],1
6041,['11'],1
6042,['21'],1
6043,['42'],1
6044,"['11', '33']",2
6045,[],0
6046,['33'],1
6047,['21'],1
6048,"['11', '19']",2
6049,[],0
6050,[],0
6051,['33'],1
6052,[],0
6053,[],0
6054,"['11', '19', '21']",3
6055,['21'],1
6056,['19'],1
6057,[],0
6058,['21'],1
6059,['19'],1
6060,['42'],1
6061,['19'],1
6062,['42'],1
6063,['11'],1
6064,['19'],1
6065,['19'],1
6066,['42'],1
6067,['42'],1
6068,['11'],1
6069,['33'],1
6070,['42'],1
6071,['42'],1
6072,[],0
6073,[],0
6074,['33'],1
6075,['11'],1
6076,['42'],1
6077,"['11', '42']",2
6078,[],0
6079,[],0
6080,[],0
6081,[],0
6082,[],0
6083,['21'],1
6084,[],0
6085,['19'],1
6086,[],0
6087,"['19', '21', '42']",3
6088,['19'],1
6089,['19'],1
6090,['19'],1
6091,['19'],1
6092,['19'],1
6093,[],0
6094,[],0
6095,[],0
6096,['11'],1
6097,[],0
6098,[],0
6099,[],0
6100,"['19', '33']",2
6101,[],0
6102,['42'],1
6103,[],0
6104,[],0
6105,[],0
6106,['21'],1
6107,['11'],1
6108,['21'],1
6109,['33'],1
6110,[],0
6111,[],0
6112,['42'],1
6113,"['11', '19']",2
6114,['11'],1
6115,[],0
6116,[],0
6117,[],0
6118,['33'],1
6119,"['33', '42']",2
6120,[],0
6121,"['19', '33']",2
6122,[],0
6123,[],0
6124,[],0
6125,['19'],1
6126,['42'],1
6127,[],0
6128,['11'],1
6129,['33'],1
6130,['21'],1
6131,['21'],1
6132,[],0
6133,['19'],1
6134,['42'],1
6135,"['33', '42']",2
6136,['33'],1
6137,['33'],1
6138,[],0
6139,['33'],1
6140,[],0
6141,[],0
6142,[],0
6143,['19'],1
6144,['21'],1
6145,['19'],1
6146,['19'],1
6147,[],0
6148,['19'],1
6149,[],0
6150,['19'],1
6151,['42'],1
6152,[],0
6153,[],0
6154,['19'],1
6155,[],0
6156,[],0
6157,['42'],1
6158,[],0
6159,"['19', '33']",2
6160,[],0
6161,[],0
6162,[],0
6163,['11'],1
6164,[],0
6165,['21'],1
6166,[],0
6167,[],0
6168,['19'],1
6169,[],0
6170,['21'],1
6171,['33'],1
6172,"['11', '42']",2
6173,[],0
6174,['11'],1
6175,['19'],1
6176,[],0
6177,['42'],1
6178,[],0
6179,[],0
6180,['11'],1
6181,['11'],1
6182,[],0
6183,[],0
6184,[],0
6185,[],0
6186,[],0
6187,[],0
6188,"['11', '33']",2
6189,[],0
6190,['42'],1
6191,[],0
6192,['19'],1
6193,[],0
6194,['33'],1
6195,['33'],1
6196,['42'],1
6197,[],0
6198,['42'],1
6199,[],0
6200,['21'],1
6201,['33'],1
6202,[],0
6203,[],0
6204,[],0
6205,[],0
6206,[],0
6207,[],0
6208,['11'],1
6209,"['11', '19']",2
6210,[],0
6211,['33'],1
6212,[],0
6213,[],0
6214,[],0
6215,['11'],1
6216,['21'],1
6217,['21'],1
6218,[],0
6219,[],0
6220,"['11', '33']",2
6221,[],0
6222,[],0
6223,[],0
6224,['33'],1
6225,"['19', '33']",2
6226,['42'],1
6227,[],0
6228,[],0
6229,[],0
6230,[],0
6231,[],0
6232,"['11', '33']",2
6233,[],0
6234,[],0
6235,[],0
6236,"['19', '42']",2
6237,[],0
6238,[],0
6239,[],0
6240,[],0
6241,"['11', '42']",2
6242,['11'],1
6243,['33'],1
6244,[],0
6245,['21'],1
6246,['42'],1
6247,[],0
6248,[],0
6249,[],0
6250,[],0
6251,[],0
6252,[],0
6253,[],0
6254,[],0
6255,['11'],1
6256,[],0
6257,[],0
6258,['19'],1
6259,[],0
6260,[],0
6261,['33'],1
6262,[],0
6263,[],0
6264,['33'],1
6265,[],0
6266,['19'],1
6267,"['33', '42']",2
6268,['42'],1
6269,['21'],1
6270,['21'],1
6271,[],0
6272,[],0
6273,[],0
6274,['19'],1
6275,[],0
6276,[],0
6277,[],0
6278,[],0
6279,['11'],1
6280,[],0
6281,['21'],1
6282,['11'],1
6283,"['19', '42']",2
6284,[],0
6285,[],0
6286,[],0
6287,['21'],1
6288,"['19', '42']",2
6289,['33'],1
6290,['11'],1
6291,[],0
6292,['19'],1
6293,['33'],1
6294,['42'],1
6295,[],0
6296,[],0
6297,[],0
6298,['42'],1
6299,[],0
6300,[],0
6301,['11'],1
6302,['33'],1
6303,[],0
6304,['11'],1
6305,[],0
6306,['42'],1
6307,['33'],1
6308,[],0
6309,['21'],1
6310,['21'],1
6311,['11'],1
6312,"['19', '21', '33']",3
6313,[],0
6314,"['33', '42']",2
6315,"['19', '21']",2
6316,[],0
6317,[],0
6318,['21'],1
6319,['19'],1
6320,[],0
6321,[],0
6322,['11'],1
6323,['21'],1
6324,[],0
6325,[],0
6326,['19'],1
6327,['19'],1
6328,[],0
6329,[],0
6330,['19'],1
6331,"['11', '42']",2
6332,[],0
6333,['21'],1
6334,[],0
6335,[],0
6336,[],0
6337,[],0
6338,[],0
6339,"['11', '19']",2
6340,['33'],1
6341,['11'],1
6342,['19'],1
6343,['33'],1
6344,['21'],1
6345,['19'],1
6346,[],0
6347,[],0
6348,[],0
6349,[],0
6350,"['11', '21', '42']",3
6351,[],0
6352,[],0
6353,[],0
6354,[],0
6355,['42'],1
6356,['19'],1
6357,"['11', '21']",2
6358,"['19', '21']",2
6359,[],0
6360,[],0
6361,[],0
6362,['33'],1
6363,['19'],1
6364,[],0
6365,[],0
6366,[],0
6367,[],0
6368,[],0
6369,[],0
6370,['11'],1
6371,[],0
6372,"['11', '21']",2
6373,['19'],1
6374,['21'],1
6375,[],0
6376,[],0
6377,[],0
6378,['33'],1
6379,[],0
6380,[],0
6381,[],0
6382,"['19', '42']",2
6383,['21'],1
6384,[],0
6385,['19'],1
6386,[],0
6387,[],0
6388,['33'],1
6389,[],0
6390,[],0
6391,[],0
6392,[],0
6393,['42'],1
6394,[],0
6395,[],0
6396,[],0
6397,['11'],1
6398,[],0
6399,[],0
6400,"['11', '33']",2
6401,"['19', '42']",2
6402,"['33', '42']",2
6403,[],0
6404,['33'],1
6405,['33'],1
6406,[],0
6407,[],0
6408,[],0
6409,['21'],1
6410,[],0
6411,[],0
6412,['21'],1
6413,[],0
6414,[],0
6415,[],0
6416,[],0
6417,[],0
6418,['19'],1
6419,['19'],1
6420,['33'],1
6421,[],0
6422,['42'],1
6423,['21'],1
6424,['33'],1
6425,[],0
6426,['19'],1
6427,[],0
6428,[],0
6429,[],0
6430,[],0
6431,[],0
6432,['33'],1
6433,[],0
6434,"['19', '33']",2
6435,"['11', '42']",2
6436,[],0
6437,"['11', '21']",2
6438,[],0
6439,['11'],1
6440,[],0
6441,[],0
6442,['21'],1
6443,[],0
6444,['11'],1
6445,['11'],1
6446,"['33', '42']",2
6447,"['11', '19', '21']",3
6448,[],0
6449,[],0
6450,[],0
6451,[],0
6452,['19'],1
6453,[],0
6454,[],0
6455,"['33', '42']",2
6456,[],0
6457,['33'],1
6458,[],0
6459,[],0
6460,['11'],1
6461,"['19', '21']",2
6462,['42'],1
6463,[],0
6464,['11'],1
6465,['11'],1
6466,['42'],1
6467,[],0
6468,[],0
6469,['33'],1
6470,[],0
6471,"['19', '33']",2
6472,[],0
6473,"['19', '42']",2
6474,[],0
6475,['11'],1
6476,[],0
6477,[],0
6478,[],0
6479,[],0
6480,[],0
6481,['11'],1
6482,[],0
6483,[],0
6484,['42'],1
6485,[],0
6486,"['19', '33']",2
6487,[],0
6488,[],0
6489,[],0
6490,[],0
6491,[],0
6492,['42'],1
6493,"['11', '21']",2
6494,[],0
6495,"['19', '21']",2
6496,[],0
6497,['33'],1
6498,[],0
6499,['21'],1
6500,[],0
6501,[],0
6502,"['11', '42']",2
6503,[],0
6504,[],0
6505,['19'],1
6506,[],0
6507,[],0
6508,[],0
6509,['11'],1
6510,[],0
6511,[],0
6512,[],0
6513,['42'],1
6514,[],0
6515,"['21', '42']",2
6516,"['11', '33']",2
6517,['42'],1
6518,['11'],1
6519,['33'],1
6520,['11'],1
6521,"['11', '19']",2
6522,['21'],1
6523,[],0
6524,"['21', '33']",2
6525,[],0
6526,['33'],1
6527,[],0
6528,"['19', '42']",2
6529,['33'],1
6530,[],0
6531,"['11', '21']",2
6532,[],0
6533,['33'],1
6534,[],0
6535,[],0
6536,[],0
6537,"['11', '21']",2
6538,[],0
6539,['33'],1
6540,[],0
6541,[],0
6542,[],0
6543,[],0
6544,[],0
6545,[],0
6546,[],0
6547,['42'],1
6548,['21'],1
6549,[],0
6550,[],0
6551,[],0
6552,"['11', '19']",2
6553,[],0
6554,[],0
6555,[],0
6556,['21'],1
6557,[],0
6558,['19'],1
6559,['21'],1
6560,[],0
6561,[],0
6562,['33'],1
6563,['11'],1
6564,"['11', '19']",2
6565,['33'],1
6566,[],0
6567,[],0
6568,['11'],1
6569,[],0
6570,[],0
6571,[],0
6572,[],0
6573,"['11', '33']",2
6574,[],0
6575,['11'],1
6576,[],0
6577,[],0
6578,[],0
6579,['33'],1
6580,['11'],1
6581,['21'],1
6582,[],0
6583,['21'],1
6584,['21'],1
6585,"['11', '33']",2
6586,"['19', '33']",2
6587,"['11', '21']",2
6588,[],0
6589,['19'],1
6590,['42'],1
6591,['21'],1
6592,[],0
6593,['11'],1
6594,['19'],1
6595,['11'],1
6596,['33'],1
6597,[],0
6598,['19'],1
6599,[],0
6600,[],0
6601,['33'],1
6602,[],0
6603,['19'],1
6604,[],0
6605,['21'],1
6606,['19'],1
6607,['21'],1
6608,[],0
6609,[],0
6610,['19'],1
6611,['19'],1
6612,['33'],1
6613,[],0
6614,[],0
6615,[],0
6616,['33'],1
6617,[],0
6618,['11'],1
6619,['42'],1
6620,[],0
6621,[],0
6622,"['19', '21']",2
6623,['19'],1
6624,[],0
6625,[],0
6626,['19'],1
6627,[],0
6628,['11'],1
6629,['11'],1
6630,['33'],1
6631,[],0
6632,['11'],1
6633,['19'],1
6634,['11'],1
6635,[],0
6636,[],0
6637,['19'],1
6638,[],0
6639,[],0
6640,"['11', '19', '33']",3
6641,['19'],1
6642,['19'],1
6643,['33'],1
6644,['33'],1
6645,[],0
6646,"['19', '33']",2
6647,[],0
6648,['11'],1
6649,[],0
6650,['11'],1
6651,[],0
6652,[],0
6653,"['19', '21']",2
6654,['21'],1
6655,[],0
6656,['21'],1
6657,['19'],1
6658,['19'],1
6659,[],0
6660,['21'],1
6661,[],0
6662,[],0
6663,['11'],1
6664,[],0
6665,[],0
6666,"['19', '21']",2
6667,[],0
6668,[],0
6669,"['11', '19']",2
6670,['11'],1
6671,[],0
6672,['33'],1
6673,[],0
6674,[],0
6675,['42'],1
6676,[],0
6677,[],0
6678,[],0
6679,['33'],1
6680,['19'],1
6681,[],0
6682,['42'],1
6683,[],0
6684,[],0
6685,['33'],1
6686,[],0
6687,[],0
6688,['33'],1
6689,['42'],1
6690,['11'],1
6691,[],0
6692,[],0
6693,"['11', '33']",2
6694,['33'],1
6695,"['11', '19', '21']",3
6696,[],0
6697,"['11', '19']",2
6698,[],0
6699,['19'],1
6700,[],0
6701,[],0
6702,[],0
6703,['19'],1
6704,['42'],1
6705,['19'],1
6706,[],0
6707,['33'],1
6708,['42'],1
6709,['33'],1
6710,['42'],1
6711,[],0
6712,[],0
6713,[],0
6714,"['11', '33']",2
6715,['42'],1
6716,[],0
6717,['19'],1
6718,['11'],1
6719,[],0
6720,[],0
6721,[],0
6722,['21'],1
6723,"['33', '42']",2
6724,[],0
6725,['33'],1
6726,[],0
6727,['19'],1
6728,[],0
6729,"['19', '21']",2
6730,[],0
6731,[],0
6732,[],0
6733,[],0
6734,[],0
6735,[],0
6736,[],0
6737,['21'],1
6738,[],0
6739,['33'],1
6740,['33'],1
6741,[],0
6742,['11'],1
6743,[],0
6744,['11'],1
6745,[],0
6746,[],0
6747,[],0
6748,[],0
6749,[],0
6750,['33'],1
6751,[],0
6752,['19'],1
6753,[],0
6754,['33'],1
6755,[],0
6756,[],0
6757,[],0
6758,[],0
6759,['42'],1
6760,['11'],1
6761,[],0
6762,"['11', '42']",2
6763,[],0
6764,[],0
6765,[],0
6766,['42'],1
6767,['21'],1
6768,"['11', '19', '21']",3
6769,['33'],1
6770,[],0
6771,[],0
6772,['11'],1
6773,[],0
6774,['21'],1
6775,[],0
6776,['33'],1
6777,['11'],1
6778,['19'],1
6779,['33'],1
6780,['11'],1
6781,['11'],1
6782,['11'],1
6783,"['19', '42']",2
6784,[],0
6785,[],0
6786,[],0
6787,['19'],1
6788,[],0
6789,['33'],1
6790,[],0
6791,['19'],1
6792,[],0
6793,[],0
6794,[],0
6795,"['11', '21']",2
6796,[],0
6797,[],0
6798,[],0
6799,"['33', '42']",2
6800,['21'],1
6801,[],0
6802,['11'],1
6803,[],0
6804,[],0
6805,['33'],1
6806,[],0
6807,[],0
6808,['19'],1
6809,['11'],1
6810,['19'],1
6811,[],0
6812,[],0
6813,['11'],1
6814,[],0
6815,[],0
6816,[],0
6817,['19'],1
6818,"['11', '33']",2
6819,['21'],1
6820,['19'],1
6821,"['11', '33']",2
6822,['11'],1
6823,[],0
6824,['42'],1
6825,[],0
6826,[],0
6827,['11'],1
6828,['21'],1
6829,[],0
6830,['19'],1
6831,[],0
6832,['11'],1
6833,['33'],1
6834,['21'],1
6835,['19'],1
6836,['11'],1
6837,['11'],1
6838,[],0
6839,[],0
6840,['33'],1
6841,[],0
6842,[],0
6843,['11'],1
6844,[],0
6845,[],0
6846,[],0
6847,[],0
6848,['21'],1
6849,[],0
6850,"['19', '33']",2
6851,['33'],1
6852,['42'],1
6853,"['11', '21']",2
6854,[],0
6855,['33'],1
6856,['33'],1
6857,[],0
6858,[],0
6859,['11'],1
6860,['19'],1
6861,['21'],1
6862,[],0
6863,['11'],1
6864,[],0
6865,['21'],1
6866,[],0
6867,['21'],1
6868,"['19', '33']",2
6869,[],0
6870,"['11', '33']",2
6871,[],0
6872,[],0
6873,['19'],1
6874,[],0
6875,['11'],1
6876,[],0
6877,[],0
6878,[],0
6879,['33'],1
6880,[],0
6881,[],0
6882,[],0
6883,[],0
6884,['33'],1
6885,[],0
6886,['19'],1
6887,[],0
6888,[],0
6889,[],0
6890,"['19', '21']",2
6891,"['11', '21', '42']",3
6892,[],0
6893,[],0
6894,['11'],1
6895,[],0
6896,"['11', '21']",2
6897,['19'],1
6898,['11'],1
6899,['11'],1
6900,['19'],1
6901,['21'],1
6902,[],0
6903,['11'],1
6904,[],0
6905,"['19', '33', '42']",3
6906,[],0
6907,"['11', '19']",2
6908,[],0
6909,[],0
6910,['42'],1
6911,"['11', '21']",2
6912,"['11', '21']",2
6913,[],0
6914,[],0
6915,[],0
6916,[],0
6917,['42'],1
6918,[],0
6919,[],0
6920,['42'],1
6921,[],0
6922,['19'],1
6923,[],0
6924,[],0
6925,[],0
6926,['42'],1
6927,['11'],1
6928,[],0
6929,[],0
6930,[],0
6931,[],0
6932,['42'],1
6933,['33'],1
6934,[],0
6935,['19'],1
6936,['21'],1
6937,"['19', '33']",2
6938,[],0
6939,['33'],1
6940,[],0
6941,"['11', '33']",2
6942,['19'],1
6943,['42'],1
6944,"['21', '42']",2
6945,['33'],1
6946,[],0
6947,[],0
6948,['33'],1
6949,[],0
6950,[],0
6951,[],0
6952,[],0
6953,[],0
6954,['11'],1
6955,[],0
6956,['21'],1
6957,['19'],1
6958,[],0
6959,[],0
6960,[],0
6961,"['19', '21']",2
6962,[],0
6963,['33'],1
6964,[],0
6965,"['33', '42']",2
6966,[],0
6967,[],0
6968,"['21', '33', '42']",3
6969,['33'],1
6970,['33'],1
6971,"['21', '42']",2
6972,[],0
6973,['33'],1
6974,['33'],1
6975,['21'],1
6976,[],0
6977,[],0
6978,[],0
6979,[],0
6980,"['11', '21']",2
6981,[],0
6982,[],0
6983,[],0
6984,[],0
6985,[],0
6986,['11'],1
6987,[],0
6988,[],0
6989,[],0
6990,[],0
6991,['19'],1
6992,[],0
6993,['33'],1
6994,['21'],1
6995,[],0
6996,[],0
6997,['21'],1
6998,['21'],1
6999,['42'],1
7000,['21'],1
7001,[],0
7002,[],0
7003,['19'],1
7004,[],0
7005,[],0
7006,['11'],1
7007,['19'],1
7008,[],0
7009,"['11', '21']",2
7010,[],0
7011,"['11', '19']",2
7012,[],0
7013,['21'],1
7014,[],0
7015,[],0
7016,['11'],1
7017,['42'],1
7018,"['19', '33']",2
7019,"['19', '21']",2
7020,[],0
7021,['42'],1
7022,[],0
7023,[],0
7024,[],0
7025,[],0
7026,[],0
7027,['19'],1
7028,"['11', '33']",2
7029,[],0
7030,[],0
7031,[],0
7032,['33'],1
7033,[],0
7034,[],0
7035,[],0
7036,[],0
7037,[],0
7038,[],0
7039,"['21', '33']",2
7040,[],0
7041,['19'],1
7042,['19'],1
7043,"['11', '21']",2
7044,[],0
7045,[],0
7046,['33'],1
7047,['21'],1
7048,"['19', '42']",2
7049,['19'],1
7050,[],0
7051,['33'],1
7052,"['11', '21']",2
7053,"['19', '33']",2
7054,['21'],1
7055,[],0
7056,[],0
7057,['11'],1
7058,[],0
7059,"['11', '19']",2
7060,['33'],1
7061,[],0
7062,[],0
7063,['19'],1
7064,[],0
7065,[],0
7066,[],0
7067,['33'],1
7068,"['21', '42']",2
7069,[],0
7070,['21'],1
7071,['21'],1
7072,['11'],1
7073,[],0
7074,['21'],1
7075,[],0
7076,[],0
7077,['11'],1
7078,[],0
7079,[],0
7080,[],0
7081,['33'],1
7082,[],0
7083,['42'],1
7084,[],0
7085,['33'],1
7086,[],0
7087,[],0
7088,[],0
7089,[],0
7090,['42'],1
7091,['19'],1
7092,['19'],1
7093,['11'],1
7094,['19'],1
7095,[],0
7096,['19'],1
7097,['21'],1
7098,['33'],1
7099,[],0
7100,['42'],1
7101,['19'],1
7102,[],0
7103,[],0
7104,[],0
7105,[],0
7106,['21'],1
7107,"['19', '21']",2
7108,['11'],1
7109,['11'],1
7110,[],0
7111,[],0
7112,[],0
7113,[],0
7114,[],0
7115,['42'],1
7116,"['11', '19']",2
7117,['11'],1
7118,[],0
7119,['21'],1
7120,"['11', '19']",2
7121,[],0
7122,[],0
7123,[],0
7124,['11'],1
7125,['33'],1
7126,[],0
7127,[],0
7128,[],0
7129,['33'],1
7130,[],0
7131,[],0
7132,['33'],1
7133,"['19', '42']",2
7134,[],0
7135,['19'],1
7136,"['11', '42']",2
7137,[],0
7138,[],0
7139,['19'],1
7140,['19'],1
7141,['42'],1
7142,[],0
7143,[],0
7144,['21'],1
7145,[],0
7146,['11'],1
7147,[],0
7148,[],0
7149,['33'],1
7150,[],0
7151,[],0
7152,['33'],1
7153,[],0
7154,"['33', '42']",2
7155,[],0
7156,"['21', '42']",2
7157,['42'],1
7158,[],0
7159,[],0
7160,['19'],1
7161,[],0
7162,['42'],1
7163,['21'],1
7164,[],0
7165,[],0
7166,"['11', '42']",2
7167,[],0
7168,[],0
7169,[],0
7170,"['11', '21', '42']",3
7171,[],0
7172,[],0
7173,['21'],1
7174,"['21', '33']",2
7175,['11'],1
7176,['11'],1
7177,"['11', '21', '33']",3
7178,[],0
7179,"['33', '42']",2
7180,['21'],1
7181,"['11', '19']",2
7182,[],0
7183,['21'],1
7184,['42'],1
7185,[],0
7186,"['19', '33']",2
7187,['11'],1
7188,['19'],1
7189,[],0
7190,['21'],1
7191,[],0
7192,"['19', '21']",2
7193,[],0
7194,[],0
7195,['42'],1
7196,['19'],1
7197,[],0
7198,[],0
7199,[],0
7200,['21'],1
7201,[],0
7202,[],0
7203,['33'],1
7204,[],0
7205,[],0
7206,['11'],1
7207,['33'],1
7208,['21'],1
7209,[],0
7210,[],0
7211,[],0
7212,['21'],1
7213,['33'],1
7214,[],0
7215,['42'],1
7216,[],0
7217,['42'],1
7218,[],0
7219,['33'],1
7220,['21'],1
7221,[],0
7222,[],0
7223,['21'],1
7224,[],0
7225,[],0
7226,['19'],1
7227,[],0
7228,"['11', '19', '21', '33']",4
7229,[],0
7230,[],0
7231,['19'],1
7232,['19'],1
7233,[],0
7234,['33'],1
7235,['11'],1
7236,[],0
7237,[],0
7238,['19'],1
7239,['19'],1
7240,[],0
7241,[],0
7242,"['19', '33']",2
7243,['19'],1
7244,[],0
7245,[],0
7246,['33'],1
7247,[],0
7248,[],0
7249,['21'],1
7250,['21'],1
7251,[],0
7252,['42'],1
7253,"['21', '42']",2
7254,['11'],1
7255,[],0
7256,['19'],1
7257,"['19', '33']",2
7258,[],0
7259,['42'],1
7260,[],0
7261,['11'],1
7262,[],0
7263,[],0
7264,[],0
7265,[],0
7266,[],0
7267,[],0
7268,['19'],1
7269,['33'],1
7270,[],0
7271,['11'],1
7272,"['21', '33']",2
7273,[],0
7274,[],0
7275,"['11', '19']",2
7276,[],0
7277,[],0
7278,[],0
7279,[],0
7280,"['11', '19']",2
7281,['21'],1
7282,[],0
7283,['19'],1
7284,[],0
7285,['19'],1
7286,[],0
7287,"['11', '19']",2
7288,['19'],1
7289,[],0
7290,[],0
7291,[],0
7292,[],0
7293,[],0
7294,['19'],1
7295,[],0
7296,[],0
7297,['42'],1
7298,[],0
7299,[],0
7300,[],0
7301,"['11', '19', '21']",3
7302,"['21', '33']",2
7303,[],0
7304,[],0
7305,[],0
7306,['33'],1
7307,[],0
7308,[],0
7309,[],0
7310,[],0
7311,[],0
7312,"['19', '33']",2
7313,[],0
7314,[],0
7315,['21'],1
7316,['19'],1
7317,['42'],1
7318,['21'],1
7319,[],0
7320,[],0
7321,"['11', '19']",2
7322,['11'],1
7323,['19'],1
7324,[],0
7325,['42'],1
7326,[],0
7327,[],0
7328,"['11', '21']",2
7329,['19'],1
7330,['33'],1
7331,"['19', '33']",2
7332,"['19', '33']",2
7333,[],0
7334,[],0
7335,[],0
7336,['19'],1
7337,[],0
7338,['33'],1
7339,"['21', '33']",2
7340,[],0
7341,[],0
7342,['19'],1
7343,[],0
7344,[],0
7345,[],0
7346,[],0
